type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
java,java开发工程师[朝阳区],中智智人,4000,5000,经验在校,应届,"软件服务｜咨询,IT技术服务｜咨询 / 未融资 / 150-500人",150-500,软件服务｜咨询/IT技术服务｜咨询/后端工程师,无,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
java,java开发工程师[北京站],联通时科,4000,6000,经验在校,应届,"科技金融,人工智能服务 / 不需要融资 / 150-500人",150-500,MySQL/信息安全/SQL Server/Spring/ORACLE,公司福利好，发展空间大,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/7E/CgYXBlTUXcmARYdgAABLsYUpYuY538.gif,北京
java,java开发实习生[海淀区],喀斯玛,3000,4000,经验在校,应届,电商平台 / 未融资 / 150-500人,150-500,后端工程师/电商平台/Web后端开发,国有企业 交通方便 氛围轻松 扁平管理,https://www.lgstatic.com/thumbnail_120x120/10/acd1f2d7a4e949a8afe77d3c353341ea.jpg,北京
java,Java工程师（实习生）[西三旗],知网,3000,5000,经验在校,应届,"信息检索,工具类产品,内容社区 / 上市公司 / 2000人以上",2000,人工智能服务/信息检索/后端工程师,实习岗位，提供工作餐,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/00/6D/CgqKkVZJj_qAIz4tAAAZsDXnarY482.jpg,北京
java,服务端JAVA研发实习生 -【增长引擎业务】[西二旗],快手,4000,8000,经验在校,应届,短视频 / 上市公司 / 2000人以上,2000,无,发展空间大,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/49/E7/Ciqc1F9QZJSAC0VBAACwLdjC9yo459.png,北京
java,Java开发工程师-实习生（2025年毕业生）[大兴区],亚信,3000,4000,经验在校,应届,无,未知,无,"专业培训,弹性工作",https://www.lgstatic.com/thumbnail_120x120/10/498b63a2ffd441109236cd05915b29d1.png,北京
java,java软件工程师（含实习）[西单],北京谷好科技有限公司,4000,8000,经验在校,应届,数据服务｜咨询 / 未融资 / 少于15人,15,软件服务｜咨询/JavaScript/Web前端开发/IT技术服务｜咨询/后端工程师,发展潜力大 团队氛围好 期权激励,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/84/0B/CioPOWKO-naAa02IAAAHtqUH6S0786.png,北京
java,后端java开发实习生[西北旺],亚信科技,3000,4000,经验在校,应届,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上",2000,软件服务｜咨询/后端工程师/计算机/软件工程相关专业/网络通信,培养体系、人性化管理,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A1/42/CgotOVvS-F2ARLCqAAGhhVXKtLw993.jpg,北京
java,java实习生[角门],微视听文化传媒,4000,6000,经验在校,应届,IT技术服务｜咨询 / 不需要融资 / 50-150人,50-150,软件服务｜咨询/后端工程师,年轻化团队,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/2A/10/CgotOVzRRHuAbxOZAABQ6mam0jE246.png,北京
java,java实习生[朝阳区],欧冶上善,4000,5000,经验不限,本科,软件服务｜咨询 / 天使轮 / 少于15人,15,软件服务｜咨询/MySQL/MyBatis/后端工程师/Web后端开发,未来你将成为风控这个领域的专家,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
